                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2465,                 1.6867,                0.82806,                0.13362,                0.27267,                0.13145,                0.07867,                 1.2237,                    inf,                0.81052,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2149,                0.80171,                0.81993,                0.65011,                0.50453,                0.51423,                0.30292,                 1.1436,                 8.9792,                0.81104,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2838,                0.71715,                0.82823,                0.53297,                0.49846,                0.57795,                0.31679,                  1.257,                0.98258,                0.83455,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2567,                0.68193,                0.82493,                0.74386,                0.47841,                0.58794,                0.33329,                 1.1799,                0.71015,                0.81156,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1978,                0.64855,                0.81475,                0.59716,                0.55951,                0.58186,                0.35021,                  1.111,                0.75318,                0.80812,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1808,                0.66844,                0.81454,                0.68982,                0.59865,                0.63989,                0.38205,                 1.1273,                0.85379,                0.80676,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1351,                0.58478,                0.80991,                0.80221,                0.67845,                0.73855,                0.45057,                0.97182,                0.55913,                0.79879,              0.0011757,              0.0011757,              0.0011757
                      8,                  1.062,                0.55471,                0.80626,                0.85562,                0.63914,                0.73672,                0.44977,                0.96531,                0.52592,                0.79908,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1325,                0.57513,                0.80975,                0.86291,                0.60805,                0.71426,                0.45092,                0.99315,                0.54375,                0.80108,               0.001151,               0.001151,               0.001151
                     10,                 1.0636,                0.53744,                0.80123,                0.86268,                0.71093,                 0.7867,                0.49595,                 1.0361,                 0.5166,                0.80226,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.003,                0.50532,                0.79726,                0.85786,                0.68173,                0.77694,                0.51998,                0.83885,                0.46231,                0.79067,              0.0011263,              0.0011263,              0.0011263
                     12,                0.96559,                0.48739,                 0.7975,                0.84062,                0.70788,                 0.7687,                0.51963,                 0.8884,                0.46861,                0.79241,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0011,                0.50811,                0.79837,                0.75437,                0.68533,                0.70806,                0.46512,                0.92042,                 0.4926,                0.79616,              0.0011015,              0.0011015,              0.0011015
                     14,                 0.9573,                0.47704,                0.79742,                0.94186,                0.72052,                0.80969,                0.52563,                0.84839,                0.46362,                0.79306,              0.0010891,              0.0010891,              0.0010891
                     15,                0.96454,                0.48179,                0.80012,                0.80477,                0.70346,                0.75046,                0.49294,                0.86609,                0.48342,                0.79301,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0025,                0.49782,                0.79806,                0.87877,                0.66602,                0.76797,                0.50791,                0.88946,                0.51289,                0.79405,              0.0010644,              0.0010644,              0.0010644
                     17,                 0.9574,                0.47161,                0.79546,                0.91797,                0.70203,                0.79801,                 0.5266,                0.84718,                0.46055,                 0.7904,               0.001052,               0.001052,               0.001052
                     18,                0.97932,                0.48589,                0.80022,                0.91653,                0.67917,                0.76988,                0.48138,                0.90691,                 0.4835,                0.79498,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0085,                0.48539,                0.80152,                0.85964,                0.62931,                0.71851,                0.45942,                0.98623,                0.51902,                0.80323,              0.0010273,              0.0010273,              0.0010273
                     20,                0.96175,                0.47321,                0.79435,                 0.8596,                0.69902,                0.77239,                0.49882,                0.93986,                0.48623,                0.79553,              0.0010149,              0.0010149,              0.0010149
                     21,                0.92017,                0.44795,                 0.7946,                0.92377,                0.69738,                0.77578,                0.52197,                0.82535,                0.43225,                0.79069,              0.0010025,              0.0010025,              0.0010025
